Author,Comment,Comment_casefolded
@BundaDina-j2c,"Aku salfok bgt sama Nadia yg klihatan cntik bgt.. Plis.. Kurus tirus dan cantik bgt look nya.. 
Btw tentang cerita ini, bner kata nadia harusnya udah sejak lama tiara memikirkan untuk ruqyah. 
Over all sbnernya crita kyk gini sering terjadi disekitar kita, cuma bedanya cara si subjek menyikapi nya yg beda beda. Ada yang langsung tergiur dan ngikut aja, ngilang deh tuh selamanya, pindah alam. Ada yg segera sadar dan meruqyahkan diri, alhamdulillah terselamatkan. Dan si tiara ini yg aku bingung, dibilang dia merasa
 terganggu, buktinya dia nggak cari solusi untuk terlepas dari kondisi itu. Dibilang menikmati tapi seolah olah dia tak mau. Masak sih udah keguguran 3x tetap nggak notice klau itu sesuatu yang mengancam, dan nggak berusaha keluar dari situasi itu.. 
Agak bingung aku sama pola pikir kau ni tiara","aku salfok bgt sama nadia yg klihatan cntik bgt.. plis.. kurus tirus dan cantik bgt look nya.. 
btw tentang cerita ini, bner kata nadia harusnya udah sejak lama tiara memikirkan untuk ruqyah. 
over all sbnernya crita kyk gini sering terjadi disekitar kita, cuma bedanya cara si subjek menyikapi nya yg beda beda. ada yang langsung tergiur dan ngikut aja, ngilang deh tuh selamanya, pindah alam. ada yg segera sadar dan meruqyahkan diri, alhamdulillah terselamatkan. dan si tiara ini yg aku bingung, dibilang dia merasa
 terganggu, buktinya dia nggak cari solusi untuk terlepas dari kondisi itu. dibilang menikmati tapi seolah olah dia tak mau. masak sih udah keguguran 3x tetap nggak notice klau itu sesuatu yang mengancam, dan nggak berusaha keluar dari situasi itu.. 
agak bingung aku sama pola pikir kau ni tiara"
@julianadb5242,ngeri,ngeri
@yaniiamir5723,Gilaaa 😊,gilaaa 😊
@YogianaRahma,Jadi Penasaran seganteng apa anak kembar tiara,jadi penasaran seganteng apa anak kembar tiara
@nurulhudanabilla,"Ke 2x dari 2022 & 2025 aku dengerin ini cerita. Masih tetep greget sama suaminya. Sebagai suami ko ngga mendukung istrinya, di ceritain masalah istrinya malah cemburu endingnya berantem. Greget banget demi apaaa! Salah satu ciri patriarki yang cowo mendominasi. Gimana mau ngga meleng ke cowo di mimpi suami yang di RL aja begitu😑
Coba kau si suami dengerin terus pecahin masalah bareng2. Mimpi berulang itu secara agama aja berati ada sesuatu karena ya emang ngga wajar!🔥 Kalo ngga percaya gaib ya minimal anter ke psikolog lah💣🫵🏼
Tiap diceritain endingnya ngga pernah bahas masalah itu2 lagi, ya bakal jadi bom waktu yang ada💥","ke 2x dari 2022 & 2025 aku dengerin ini cerita. masih tetep greget sama suaminya. sebagai suami ko ngga mendukung istrinya, di ceritain masalah istrinya malah cemburu endingnya berantem. greget banget demi apaaa! salah satu ciri patriarki yang cowo mendominasi. gimana mau ngga meleng ke cowo di mimpi suami yang di rl aja begitu😑
coba kau si suami dengerin terus pecahin masalah bareng2. mimpi berulang itu secara agama aja berati ada sesuatu karena ya emang ngga wajar!🔥 kalo ngga percaya gaib ya minimal anter ke psikolog lah💣🫵🏼
tiap diceritain endingnya ngga pernah bahas masalah itu2 lagi, ya bakal jadi bom waktu yang ada💥"
@BLITZENTERTAINMENT012,Hai kak nadira aku pernah mengalami kayak Tiara,hai kak nadira aku pernah mengalami kayak tiara
@chelindarahmawati2401,jadi penasaran sama anaknya😂,jadi penasaran sama anaknya😂
@nbtriapsr,"AKU UDH LIAT INI KE 3 KALI NYA, SUMPA KEPO BGT SAMA CERITANYA LAGI GIMANA KABAR ANAK KEMBAR NYA ITU? MAU LIAT..","aku udh liat ini ke 3 kali nya, sumpa kepo bgt sama ceritanya lagi gimana kabar anak kembar nya itu? mau liat.."
@RERESINGER-i9d,Ada episode kedua nya ga KA dduhhhhh,ada episode kedua nya ga ka dduhhhhh
@endahhariyanti6087,Kenapa lah Tiara kamu diam aja susah sekali harusnya dia konek ada pengaruhnya. Kenapa harus dipendam apalgi sudah ada suami.,kenapa lah tiara kamu diam aja susah sekali harusnya dia konek ada pengaruhnya. kenapa harus dipendam apalgi sudah ada suami.
@budiman2099,Aq nonton ini 5 September 2025 gaes,aq nonton ini 5 september 2025 gaes
@TriHanaDewiARakky,"Ini kayak crita yg dunia beda saranjana itu bukan sih, soal nya daerah nya juga dekat situ kan","ini kayak crita yg dunia beda saranjana itu bukan sih, soal nya daerah nya juga dekat situ kan"
@NarsihGun,Genderowo,genderowo
@FakePlasticTrees-l4b,KAK NAD BIKIN PART 2 KISAH INI KKK PLISSSS❤❤❤❤,kak nad bikin part 2 kisah ini kkk plissss❤❤❤❤
@rntarhrjo,"gegara gabisa tidur aku akhirnya sampe laah aku di cerita khw ini.
menurut ku kalo memang suaminya ka tiara juga dikasih mimpi yang sama, seharusnya dia bisa bersikap dewasa dan langsung bertindak tegas.
contohnya bersikap dewasa dan bertindak tegas itu adalah, dengan tidak menganggap remeh cerita nya ka tiara dan langsung mencari solusi. bukannya malah di curigai dan di tuduh selingkuh atau melakukan perbuatan yang tidak².
malah aku kasian sama ka Tiara ini 🥺 karena tidak ada yang bisa mengerti dia dan bisa membantu dia untuk keluar dari masalah yang menurut aku ini sangat besar dan tidak wajar🥺

pesan buat suaminya ka tiara, kalo sewaktu waktu pun kamu mendengar kisah ini dan pada akhirnya kamu ngeh kalo ini kisah istri mu, TOLONG untuk bantu dia dan lebih perhatian lagi kepada ka Tiara!

dan buat ka tiara kayaknya udah bisa lah ka kau lepas kan itu hubungan kalian, karena menurut ku ini sangat tidak wajar kaaa, ketahuilah kaa bahwa laki² yang kau lihat tampan itu aslinya ia adalah jin.

aku berdoa semoga kau selalu sehat dan secepatnya bisa lepas dari hubungan yang ga semestinya kau jalani itu yaaa kaaa.","gegara gabisa tidur aku akhirnya sampe laah aku di cerita khw ini.
menurut ku kalo memang suaminya ka tiara juga dikasih mimpi yang sama, seharusnya dia bisa bersikap dewasa dan langsung bertindak tegas.
contohnya bersikap dewasa dan bertindak tegas itu adalah, dengan tidak menganggap remeh cerita nya ka tiara dan langsung mencari solusi. bukannya malah di curigai dan di tuduh selingkuh atau melakukan perbuatan yang tidak².
malah aku kasian sama ka tiara ini 🥺 karena tidak ada yang bisa mengerti dia dan bisa membantu dia untuk keluar dari masalah yang menurut aku ini sangat besar dan tidak wajar🥺

pesan buat suaminya ka tiara, kalo sewaktu waktu pun kamu mendengar kisah ini dan pada akhirnya kamu ngeh kalo ini kisah istri mu, tolong untuk bantu dia dan lebih perhatian lagi kepada ka tiara!

dan buat ka tiara kayaknya udah bisa lah ka kau lepas kan itu hubungan kalian, karena menurut ku ini sangat tidak wajar kaaa, ketahuilah kaa bahwa laki² yang kau lihat tampan itu aslinya ia adalah jin.

aku berdoa semoga kau selalu sehat dan secepatnya bisa lepas dari hubungan yang ga semestinya kau jalani itu yaaa kaaa."
@syafia123,Aku mimpi tapi terulang2 tapi bukan macam yg awak Derita tapi lain ini cerita ku aku kan mau tidur dan aku bermimpi aku tu di sekolah kan aku di marah dan aku terbangun dan itu betul aku pergi sekolah terus aku di marah oleh guru ku itu lah mimpi ku tapi lain2 😢😅,aku mimpi tapi terulang2 tapi bukan macam yg awak derita tapi lain ini cerita ku aku kan mau tidur dan aku bermimpi aku tu di sekolah kan aku di marah dan aku terbangun dan itu betul aku pergi sekolah terus aku di marah oleh guru ku itu lah mimpi ku tapi lain2 😢😅
@dikaanandasaputra,kasian lki nyaa,kasian lki nyaa
@magfira0751,"Jadi pengen punya mimpi gitu,tapi takut aslinya gendorowo🤣","jadi pengen punya mimpi gitu,tapi takut aslinya gendorowo🤣"
@JaniferHuang,"dari smua KWH ini top tier no 1 gw
Gilaaaaaaaaakkkk 🤯🤯🤯🤯🤯🤯","dari smua kwh ini top tier no 1 gw
gilaaaaaaaaakkkk 🤯🤯🤯🤯🤯🤯"
@intanpurnamasari906,"Kek terlalu halu hehe maaf kak😭🙏🏻 in my opinion kak tiara sama kyk ngehianatin suaminya gk sih, kasian suaminya","kek terlalu halu hehe maaf kak😭🙏🏻 in my opinion kak tiara sama kyk ngehianatin suaminya gk sih, kasian suaminya"
@bad9451,"Tiara antara hoki sama apes, dicintai 2 pria dengan dunia berbeda berasa punya 2 suami 🫨","tiara antara hoki sama apes, dicintai 2 pria dengan dunia berbeda berasa punya 2 suami 🫨"
@angelwangge4971,Tiara jahat yahh nggak mikiran suaminya,tiara jahat yahh nggak mikiran suaminya
@NUHI-jp1nh,"penasaran akhirnya gi mana apa masi mimpi... atau akhirnya tidak mimpi lgi, dan anakx normal kan?","penasaran akhirnya gi mana apa masi mimpi... atau akhirnya tidak mimpi lgi, dan anakx normal kan?"
@mildaverawatindraha477,Kak tiara gk takut ni video diliat sama suami kk😭,kak tiara gk takut ni video diliat sama suami kk😭
@calistarayhanchannel1115,Epik banget kisahnya,epik banget kisahnya
@ratulebah6669,"Aku sering mimpiin laki laki, kalo udah mimpiin laki laki itu pasti pas bangun tidur ny badan ku sakit2 semua

Akhirnya seminggu yg lalu aku mimpiin laki laki itu laki, aku ajak dia tobat
Dia nangis, dan mau tobat sama sama 

Ga tau lah itu tipu daya dia aja atau dia emang beneran tobat 😂

Btw selama ini aku cuma anggap laki laki di mimpi ku itu hiburan aku aja, soalnya muka nya berubah ubah 😂","aku sering mimpiin laki laki, kalo udah mimpiin laki laki itu pasti pas bangun tidur ny badan ku sakit2 semua

akhirnya seminggu yg lalu aku mimpiin laki laki itu laki, aku ajak dia tobat
dia nangis, dan mau tobat sama sama 

ga tau lah itu tipu daya dia aja atau dia emang beneran tobat 😂

btw selama ini aku cuma anggap laki laki di mimpi ku itu hiburan aku aja, soalnya muka nya berubah ubah 😂"
@fikriaabadiah2903,Kok malah kya cerita romance ya😂gua malah suka😂,kok malah kya cerita romance ya😂gua malah suka😂
@saramiami2806,"Gk pa² selama jin nya baik. Biar aja,","gk pa² selama jin nya baik. biar aja,"
@diajengsila,"Setelah lahiran anak pertama, aku pernah mimpi kaya gitu. Cowo ganteng banget dan keliatan dia sayang ke aku. Dia mau bawa aku soalnya dia bilang kasian sama aku sedih terus. Tapi di mimpi aku nolak soalnya aku punya suami sama anak 😅😅","setelah lahiran anak pertama, aku pernah mimpi kaya gitu. cowo ganteng banget dan keliatan dia sayang ke aku. dia mau bawa aku soalnya dia bilang kasian sama aku sedih terus. tapi di mimpi aku nolak soalnya aku punya suami sama anak 😅😅"
@AnisaSamson,Dan yaa aku nonton lagi soal nya seru cerita nya,dan yaa aku nonton lagi soal nya seru cerita nya
@lianasilvia3244,Biasa nya wajah asli nya gndrwo,biasa nya wajah asli nya gndrwo
@dewiyuli7886,"Serba kasihan, kasihan Tiara dan pangeran udah saling cinta dari dulu, beda dimenasi lagi tapi. Kasian juga suaminya. Yaudah la emang paling bener punya 2suami tir 😅😅","serba kasihan, kasihan tiara dan pangeran udah saling cinta dari dulu, beda dimenasi lagi tapi. kasian juga suaminya. yaudah la emang paling bener punya 2suami tir 😅😅"
@VirginiaAldastiranda,"menurut aku ini sii cerita dari eps 1-55 ini
ini yang paling epik kakk, aku aja bingung mana yg mimpi mana yang nyata tapi kek nyata gitu tapi tau""nya itu mimpi...pusing juga gw🤣","menurut aku ini sii cerita dari eps 1-55 ini
ini yang paling epik kakk, aku aja bingung mana yg mimpi mana yang nyata tapi kek nyata gitu tapi tau""nya itu mimpi...pusing juga gw🤣"
@ramadani83-w6n,"Yang nonton 2025 hadir 😂
Sbanyak crta nya nafia omara ini yg pling epick sih bnyakin crta kyk gni lagi  kak😊😊","yang nonton 2025 hadir 😂
sbanyak crta nya nafia omara ini yg pling epick sih bnyakin crta kyk gni lagi  kak😊😊"
@ernakappel299,"Dari Semua cerita,, ini yang Paling menarik 🎉🎉🎉","dari semua cerita,, ini yang paling menarik 🎉🎉🎉"
@SakinahSiti-k1i,"kak aku baru nonton kakk😭
 soalnya aku suka horor tapi kakak buat nya malam jumaat aja😭😭","kak aku baru nonton kakk😭
 soalnya aku suka horor tapi kakak buat nya malam jumaat aja😭😭"
@heriadiode,ini kandungannya normal sampai 9 bulan apa lebih cepat labhirnya?trus apa tanggapan suaminya melihat anak2 kembar tersebut yg mirip dengan laki2 dalamn mimpi karena suaminya pernah bertemunlaki2 it dlam mimpi.,ini kandungannya normal sampai 9 bulan apa lebih cepat labhirnya?trus apa tanggapan suaminya melihat anak2 kembar tersebut yg mirip dengan laki2 dalamn mimpi karena suaminya pernah bertemunlaki2 it dlam mimpi.
@CindyEchan,"Sumpahhhhh cerita kali ini tuhhhhhh kerennn dannnnn bikin saltingg, sumpah ak smpe mikir pengen kaya tiara tapi aku takut jg si kalo ada diposisi tiara pasto takut jg lahh, gamau gamau.. mau hdup normal aja","sumpahhhhh cerita kali ini tuhhhhhh kerennn dannnnn bikin saltingg, sumpah ak smpe mikir pengen kaya tiara tapi aku takut jg si kalo ada diposisi tiara pasto takut jg lahh, gamau gamau.. mau hdup normal aja"
@NenkShasui,Lanjut part 2,lanjut part 2
@NenkShasui,Aaaaaa pengen 😢😢😢😢di bawa pangeran,aaaaaa pengen 😢😢😢😢di bawa pangeran
@aleenarch,"ini kan ka nadia udah ceritain ke publik, nah yg merasakan like suaminya misal nntn ini jd bertengkar lg ga ya??","ini kan ka nadia udah ceritain ke publik, nah yg merasakan like suaminya misal nntn ini jd bertengkar lg ga ya??"
@KristhyLobo,"Dari sekian banyak komen, kok ga ada yg nebak kalo ini cerita kek di setting? Aku percaya hal2 yg kek begituan, tapi cerita ini terlalu ga masuk di akal😭 dari banyaknya cerita tentang, ""anak jin"" bukannya biasanya anak dalam perut itu akan meninggal? Ini kok malah lahir😭","dari sekian banyak komen, kok ga ada yg nebak kalo ini cerita kek di setting? aku percaya hal2 yg kek begituan, tapi cerita ini terlalu ga masuk di akal😭 dari banyaknya cerita tentang, ""anak jin"" bukannya biasanya anak dalam perut itu akan meninggal? ini kok malah lahir😭"
@LucyDesinta-b5h,Kk spupu aku pernah,kk spupu aku pernah
@KanayaSt-n4s6r,"Penasaran sama muka  anaknya,,gantengkah???","penasaran sama muka  anaknya,,gantengkah???"
@iffahyusnita7386,Meleleh air mataku,meleleh air mataku
@BrillyantiAgustin,"Ini bahas kota gaib mirip ada film nya cuma bersamaan dgn bcl dan itu ari lasso band yg terjebak disana , serem banget tp saya blm nonton film aslinya apa ngeri . Nonton film fiktif belaka vs fiksi ilmiah","ini bahas kota gaib mirip ada film nya cuma bersamaan dgn bcl dan itu ari lasso band yg terjebak disana , serem banget tp saya blm nonton film aslinya apa ngeri . nonton film fiktif belaka vs fiksi ilmiah"
@SaniaNia-s9w,"Video ini ku tonton lgi yg ke 4 x nya

Dan ku ngikutin waknad
Dari masih 200suscrebe","video ini ku tonton lgi yg ke 4 x nya

dan ku ngikutin waknad
dari masih 200suscrebe"
@Risma_BungaGold,Aku dengerin untuk  ke tig kali nya ...dan makin aku amati kaya ini Tiara nya yg gatalan 😅,aku dengerin untuk  ke tig kali nya ...dan makin aku amati kaya ini tiara nya yg gatalan 😅
@EvaSimamora-wk3kh,"Jadi Gimana kk Nad, perasaan dan reaksi suaminya liat si kembar mirip cowok yg di mimpi","jadi gimana kk nad, perasaan dan reaksi suaminya liat si kembar mirip cowok yg di mimpi"
@reskikarmita9686,Berarti anak jin dong 😢😢,berarti anak jin dong 😢😢
@minahkadminah1748,Merinding banget dengernya,merinding banget dengernya
@NORMA15601,saya,saya
@UciiRamadani-y1i2z,Cinta tdk harus memiliki,cinta tdk harus memiliki
@UciiRamadani-y1i2z,"Ceritanya ngeri ,kyk hantu obsesi sama manusia","ceritanya ngeri ,kyk hantu obsesi sama manusia"
@ayuwahyubtroesmin4966,Kalau aku jadi tiara mungkin aku sudah ikut sebab dia ganteng dan penyabar ❤wkwkwkwkwk sorry Tiara aku datang setelah 3 tahun,kalau aku jadi tiara mungkin aku sudah ikut sebab dia ganteng dan penyabar ❤wkwkwkwkwk sorry tiara aku datang setelah 3 tahun
@UlpianaUmar,"Gw kelainan ga sih Wak? Soalnya w suka banget sama kisah si Tiara ini, udah q rewatch berkali2 malah, bukannya ngeri malah baper 😭😭","gw kelainan ga sih wak? soalnya w suka banget sama kisah si tiara ini, udah q rewatch berkali2 malah, bukannya ngeri malah baper 😭😭"
@DewiEtmawati,Gatel banget nyuruh tiara buat di ruqyah,gatel banget nyuruh tiara buat di ruqyah
@DewiEtmawati,Gatel banget nyuruh tiara buat di ruqyah,gatel banget nyuruh tiara buat di ruqyah
@DewiEtmawati,Gatel banget nyuruh tiara buat di ruqyah,gatel banget nyuruh tiara buat di ruqyah
@berharapbigwin6880,"Anaknya ""normal"" gak ya?","anaknya ""normal"" gak ya?"
@fitriwahyuni7787,EMNG CUMAN AK YA YG NONTON NYA2025,emng cuman ak ya yg nonton nya2025
@fitriwahyuni7787,AAA CWOK NYA MY TYPE,aaa cwok nya my type
@evayuniarti8217,"Saranku MB Tiara dirukiah, nanti keliatan wujut asli pangeranya. Dan bertaubat, karna ini termasuk zinah, meskipun dengan makhluk gaib. Karna aku pernah denger kisah yg mirip2 kisah nyata, yg cerita ustadz, sebelum dirukiah wujud laki2 itu ganteng dan kekar, setelah dirukiah buruk sekali wujud dan rupanya, akhirnya ukhti itu bertaubat.","saranku mb tiara dirukiah, nanti keliatan wujut asli pangeranya. dan bertaubat, karna ini termasuk zinah, meskipun dengan makhluk gaib. karna aku pernah denger kisah yg mirip2 kisah nyata, yg cerita ustadz, sebelum dirukiah wujud laki2 itu ganteng dan kekar, setelah dirukiah buruk sekali wujud dan rupanya, akhirnya ukhti itu bertaubat."
@AsikallpLlpasika,kalo narasumber minta namanya di samarin nama narasumbernya palsu atau asli ???,kalo narasumber minta namanya di samarin nama narasumbernya palsu atau asli ???
@hapanzafran8005,Yang dari 2025 absen 😊,yang dari 2025 absen 😊
@SriAtin-s9e,"Baru banget lihat ini, kak pliss penasaran banget sama kelanjutannya.. Si tiara ini lanjut apa ruaiah yaa😢","baru banget lihat ini, kak pliss penasaran banget sama kelanjutannya.. si tiara ini lanjut apa ruaiah yaa😢"
@FadilaRisa-y4q,terlalu bjirr,terlalu bjirr
@puspajessica824,Demi apapun aku pernah mimpi kek gini ga kerasa mimpi atau asli sama aja tempatnya kaya rumahku karna ga ku gubris ga ku dengar dia bicara ku acuhkan orangnya alhamdulillah ga pernah datang lagi😭,demi apapun aku pernah mimpi kek gini ga kerasa mimpi atau asli sama aja tempatnya kaya rumahku karna ga ku gubris ga ku dengar dia bicara ku acuhkan orangnya alhamdulillah ga pernah datang lagi😭
@BekiBillah,Udah lama aku tidak mendengar dan nonton YouTube kakak diara ... Karena aku tu waktu hamil g mau denger horor eh lama bgt ini baru lihat sekali lihat 6 konten kakak hhhh kangen nya terobati,udah lama aku tidak mendengar dan nonton youtube kakak diara ... karena aku tu waktu hamil g mau denger horor eh lama bgt ini baru lihat sekali lihat 6 konten kakak hhhh kangen nya terobati
@AkunFf-n7j,Gw jadi kasian sama setannya😢,gw jadi kasian sama setannya😢
@dendaoci9822,Merasa berdosa sama suaminya...  hiiiii aku pun berfikir demikian 😂😂😂😂,merasa berdosa sama suaminya...  hiiiii aku pun berfikir demikian 😂😂😂😂
@lisdakhanna9063,"2025 Masi nonton iniiii, kanatttt cerita fantasi kaya gini lagi dooonggg sebagaii manusia pecinta Wattpad suka bgtttt","2025 masi nonton iniiii, kanatttt cerita fantasi kaya gini lagi dooonggg sebagaii manusia pecinta wattpad suka bgtttt"
@lilihelawati8480,Harus ada lanjutan cerita nya si,harus ada lanjutan cerita nya si
@m.ahsanitaqwim7530,"Dari cerita tersebut sebenarnya yg salah si Istri disusul si Suami juga.

Mimpi berkali-kali selama 14 tahun dengan mimpi yg sama harusnya dia cerita atau ruqyah. Begitu juga suaminya pas tau Istrinya mimpi si Cwok di dalam mimpi juga nggk nyaranin ruqyah.

Fix si Istri itu doyan juga sama Cwok di mimpi. Dia juga menikmati meskipun hanya memandang di balik keheranan tapi intinya doyan.
Pada akhirnya mau di ajak si Cwok pulang eh dia minta ke air terjun & terbawa suasana karena si Istri ini memang nggk lurus niatnya. Terjadilah persetubuhan & anak dari dunia mimpi itu jadilah kenyataan.

Si Istri doyan krna Cwok di dalam mimpi tersebut ganteng. Biar lusuh juga klo ganteng ya doyan juga. Maka itu nggk ada usaha untuk ruqyah supaya tetap menikmati. Sampai kejadian kn akhirnya.","dari cerita tersebut sebenarnya yg salah si istri disusul si suami juga.

mimpi berkali-kali selama 14 tahun dengan mimpi yg sama harusnya dia cerita atau ruqyah. begitu juga suaminya pas tau istrinya mimpi si cwok di dalam mimpi juga nggk nyaranin ruqyah.

fix si istri itu doyan juga sama cwok di mimpi. dia juga menikmati meskipun hanya memandang di balik keheranan tapi intinya doyan.
pada akhirnya mau di ajak si cwok pulang eh dia minta ke air terjun & terbawa suasana karena si istri ini memang nggk lurus niatnya. terjadilah persetubuhan & anak dari dunia mimpi itu jadilah kenyataan.

si istri doyan krna cwok di dalam mimpi tersebut ganteng. biar lusuh juga klo ganteng ya doyan juga. maka itu nggk ada usaha untuk ruqyah supaya tetap menikmati. sampai kejadian kn akhirnya."
